,sample_id,group,scNiche,annotations_level1,annotations_level2,annotations_level3
BXNFB_C1_ancamfpl-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_ancmhngb-1,BXNFB_C1,dim,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_andbmfgb-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_andeeplc-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_andeklja-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_andkdnak-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_anebfgnj-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_anedgfhn-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_anedkllk-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_anegecpm-1,BXNFB_C1,dim,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_anegiaea-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res-activated
BXNFB_C1_anelillo-1,BXNFB_C1,dim,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_anfahmap-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_anfaicpi-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BXNFB_C1_anffgkbj-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_anfkddip-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_anflcbkh-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_angamipi-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_anggdoho-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_angmlmbc-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_angmplod-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_angolghc-1,BXNFB_C1,dim,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
